Tiempo,Kgsem,BioRama,Germ,H6
T2012,10.01,47.72,29.16,13.86
T2012,11.02,52.3,35.59,18.82
T2012,15.23,50.42,39.79,15.54
T2012,8.66,52.95,29.61,13.92
T2012,9.83,52.19,29.77,8.92
T2012,16.54,49.87,16.49,7.36
T2012,6.4,52.61,29.66,21.66
T2012,12.37,47.34,36.59,3.33
T2012,6.98,51.22,34.32,7.28
T2012,9.23,49.96,25.74,6.77
T2012,9.82,45.48,41.99,16.51
T2012,7.65,45.57,41.21,8.44
T2012,7.21,50.5,44.67,14.18
T2012,11.63,45.87,32.26,28.49
T2012,12.88,54.84,38.09,14.99
T2012,9.16,54.19,27.57,20.63
T2012,9.69,51.62,38.49,16.33
T2012,7.62,49.46,33.23,19.45
T2012,10.15,51.17,26.1,15.82
T2012,7.49,49.75,44.84,23.08
T2012,11.37,52.74,47.3,18.82
T2012,10.26,47.7,42.91,17.15
T2012,5.93,46.57,24.52,13.57
T2012,10.23,49.89,40.7,12.65
T2012,14.79,50.56,33.49,17.49
T2012,1.22,47.67,41.07,14.95
T2012,5.6,51.49,23.56,24.12
T2012,13.1,52.64,43.85,9.36
T2012,15.48,50.42,22.25,4.82
T2012,12.39,53.73,33.4,23.32
T2012,13.2,45.93,32.8,17.41
T2012,7.24,48.05,45.32,15.7
T2012,9.25,49.61,20.85,16.76
T2012,11.92,48.18,32.21,17.91
T2012,14.15,53.65,35.08,22.21
T2012,13.81,44.54,48.48,29.71
T2012,8.63,48.34,35.62,13.32
T2012,8.94,48.86,39.88,15.27
T2012,15.59,46.56,35.12,21.67
T2012,5.08,47.81,36.65,16.61
T2012,12.41,48.19,32.25,18.72
T2012,9.54,46.41,27.81,0.78
T2012,11.96,52.15,40.31,15.78
T2012,5.06,49.6,33.51,16.45
T2012,10.49,46.28,41.76,25.96
T2012,5.45,47.2,44.75,14.25
T2012,6.79,53.66,41.15,12.39
T2012,10.56,50.47,38.34,-0.07
T2012,11.09,45.09,44.5,9.47
T2012,14.23,52.61,40.57,13.99
T2013,15.93,60.58,56.1,25.24
T2013,7.28,62.22,51.05,17.14
T2013,9.1,60.82,57.2,15.25
T2013,7.38,53.15,56.04,14.37
T2013,3.53,65.08,54.22,16.02
T2013,6.87,60.35,51.78,17.59
T2013,8.06,63.17,61.15,21.38
T2013,13.72,58.55,58.71,20.1
T2013,11.17,58.9,64.48,22.58
T2013,12.97,53.49,50.65,14.96
T2013,10.71,62.46,48.41,13.84
T2013,8.95,63.05,59.2,14.11
T2013,15.13,63.6,56.99,20.9
T2013,10.04,58.52,57.04,17.92
T2013,15.25,64.02,54.16,19.73
T2013,6.85,60.89,61.79,13.55
T2013,13.37,58.21,53.41,21.78
T2013,13.13,62.04,60.57,16.39
T2013,7.29,65.24,56.88,21.19
T2013,6.83,58.45,48.6,20.31
T2013,10.23,61.47,57.11,11.66
T2013,12.71,54.95,51.48,16.42
T2013,9.32,63.22,52.06,24.72
T2013,10.58,57.69,59.92,21.69
T2013,11.8,57.22,50.56,23.4
T2013,12.95,60.84,59.07,15.2
T2013,7.82,58.82,50.74,21.64
T2013,10.12,63.58,53.75,18.82
T2013,9.51,59.71,59.8,17.19
T2013,11.64,61.89,50.9,18.5
T2013,13.03,60.23,65.02,22.75
T2013,8.08,54.54,60.38,13.44
T2013,9.3,61.81,54.97,13.93
T2013,11.32,61.53,56.08,14.23
T2013,6.87,62.1,58.38,14.19
T2013,12.03,55.91,51.15,17.98
T2013,13.58,60.05,53.41,15.81
T2013,13.69,59.49,55.76,17.55
T2013,13.73,62.76,60.72,21.85
T2013,13.79,62.6,54.25,21.74
T2013,10.05,58.02,63.6,28.4
T2013,12.35,58.25,59.16,19.9
T2013,9.07,60.86,61.39,16.39
T2013,9.98,62.14,60.03,23.73
T2013,12.72,60.05,55.12,15.43
T2013,14.18,64.69,58,23.86
T2013,12.66,56.08,46.37,16.47
T2013,15.6,62.08,52.83,12.99
T2013,12.99,58.49,59.95,22.11
T2013,9.51,55.73,57.75,21.68
